wall_time,room_id,e2e_send_ts,e2e_sink_arrival_ts,e2e_latency_ms,topic
1776722903.115,room_08,1776722903.112,1776722903.115,3.085,room_temperature_mp
1776722903.217,room_09,1776722903.214,1776722903.217,2.57,room_temperature_mp
1776722903.318,room_10,1776722903.315,1776722903.318,2.29,room_temperature_mp
1776722903.424,room_11,1776722903.419,1776722903.424,5.025,room_temperature_mp
1776722903.523,room_12,1776722903.52,1776722903.523,2.776,room_temperature_mp
1776722903.625,room_13,1776722903.622,1776722903.625,2.489,room_temperature_mp
1776722903.728,room_14,1776722903.725,1776722903.728,2.504,room_temperature_mp
1776722903.829,room_15,1776722903.827,1776722903.829,2.053,room_temperature_mp
1776722903.938,room_01,1776722903.93,1776722903.938,8.52,room_temperature_mp
1776722904.036,room_02,1776722904.031,1776722904.036,5.782,room_temperature_mp
1776722904.134,room_03,1776722904.132,1776722904.134,2.513,room_temperature_mp
1776722904.236,room_04,1776722904.235,1776722904.236,1.875,room_temperature_mp
1776722904.339,room_05,1776722904.336,1776722904.339,3.714,room_temperature_mp
1776722904.439,room_06,1776722904.437,1776722904.439,2.717,room_temperature_mp
1776722904.546,room_07,1776722904.54,1776722904.546,6.219,room_temperature_mp
1776722904.65,room_08,1776722904.646,1776722904.65,3.928,room_temperature_mp
1776722904.755,room_09,1776722904.747,1776722904.755,7.99,room_temperature_mp
1776722904.853,room_10,1776722904.85,1776722904.853,3.224,room_temperature_mp
1776722904.967,room_11,1776722904.964,1776722904.967,3.408,room_temperature_mp
1776722905.069,room_12,1776722905.066,1776722905.069,3.051,room_temperature_mp
1776722905.173,room_13,1776722905.168,1776722905.173,4.979,room_temperature_mp
1776722905.277,room_14,1776722905.271,1776722905.277,5.659,room_temperature_mp
1776722905.375,room_15,1776722905.373,1776722905.375,2.2,room_temperature_mp
1776722905.483,room_01,1776722905.477,1776722905.483,6.152,room_temperature_mp
1776722905.58,room_02,1776722905.578,1776722905.58,2.471,room_temperature_mp
1776722905.685,room_03,1776722905.679,1776722905.685,5.703,room_temperature_mp
1776722905.785,room_04,1776722905.783,1776722905.785,1.832,room_temperature_mp
1776722905.886,room_05,1776722905.884,1776722905.886,2.309,room_temperature_mp
1776722905.992,room_06,1776722905.986,1776722905.992,5.67,room_temperature_mp
1776722906.09,room_07,1776722906.088,1776722906.09,2.157,room_temperature_mp
1776722906.195,room_08,1776722906.192,1776722906.195,2.631,room_temperature_mp
1776722906.296,room_09,1776722906.293,1776722906.296,2.621,room_temperature_mp
1776722906.397,room_10,1776722906.395,1776722906.397,2.662,room_temperature_mp
1776722906.499,room_11,1776722906.497,1776722906.499,2.522,room_temperature_mp
1776722906.602,room_12,1776722906.598,1776722906.602,3.882,room_temperature_mp
1776722906.707,room_13,1776722906.701,1776722906.707,5.649,room_temperature_mp
1776722906.807,room_14,1776722906.805,1776722906.807,2.366,room_temperature_mp
1776722906.91,room_15,1776722906.908,1776722906.91,2.418,room_temperature_mp
1776722907.016,room_01,1776722907.009,1776722907.016,6.573,room_temperature_mp
1776722907.112,room_02,1776722907.11,1776722907.112,2.279,room_temperature_mp
1776722907.214,room_03,1776722907.212,1776722907.214,2.504,room_temperature_mp
1776722907.316,room_04,1776722907.314,1776722907.316,2.229,room_temperature_mp
1776722907.422,room_05,1776722907.42,1776722907.422,2.493,room_temperature_mp
1776722907.525,room_06,1776722907.521,1776722907.525,3.64,room_temperature_mp
1776722907.628,room_07,1776722907.623,1776722907.628,4.145,room_temperature_mp
1776722907.731,room_08,1776722907.725,1776722907.731,6.818,room_temperature_mp
1776722907.83,room_09,1776722907.826,1776722907.83,3.716,room_temperature_mp
1776722907.931,room_10,1776722907.928,1776722907.931,3.017,room_temperature_mp
1776722908.031,room_11,1776722908.029,1776722908.031,2.522,room_temperature_mp
1776722908.132,room_12,1776722908.13,1776722908.132,2.582,room_temperature_mp
1776722908.237,room_13,1776722908.234,1776722908.237,2.421,room_temperature_mp
1776722908.338,room_14,1776722908.335,1776722908.338,2.116,room_temperature_mp
1776722908.439,room_15,1776722908.437,1776722908.439,2.007,room_temperature_mp
1776722908.54,room_01,1776722908.538,1776722908.54,2.864,room_temperature_mp
1776722908.641,room_02,1776722908.639,1776722908.641,2.589,room_temperature_mp
1776722908.744,room_03,1776722908.742,1776722908.744,2.407,room_temperature_mp
1776722908.847,room_04,1776722908.844,1776722908.847,2.805,room_temperature_mp
1776722908.948,room_05,1776722908.945,1776722908.948,2.674,room_temperature_mp
1776722909.054,room_06,1776722909.05,1776722909.054,4.015,room_temperature_mp
1776722909.154,room_07,1776722909.151,1776722909.154,2.468,room_temperature_mp
1776722909.255,room_08,1776722909.252,1776722909.255,2.458,room_temperature_mp
1776722909.356,room_09,1776722909.354,1776722909.356,2.186,room_temperature_mp
1776722909.457,room_10,1776722909.454,1776722909.457,2.496,room_temperature_mp
1776722909.558,room_11,1776722909.555,1776722909.558,2.468,room_temperature_mp
1776722909.658,room_12,1776722909.656,1776722909.658,2.364,room_temperature_mp
1776722909.76,room_13,1776722909.758,1776722909.76,2.411,room_temperature_mp
1776722909.861,room_14,1776722909.859,1776722909.861,2.207,room_temperature_mp
1776722909.964,room_15,1776722909.962,1776722909.964,2.421,room_temperature_mp
1776722910.067,room_01,1776722910.064,1776722910.067,3.221,room_temperature_mp
1776722910.168,room_02,1776722910.165,1776722910.168,2.911,room_temperature_mp
1776722910.269,room_03,1776722910.267,1776722910.269,2.773,room_temperature_mp
1776722910.369,room_04,1776722910.367,1776722910.369,2.331,room_temperature_mp
1776722910.471,room_05,1776722910.469,1776722910.471,2.03,room_temperature_mp
